S	0mV	10mV	30mV	50mV	70mV	90mV	110mV
0.0116	0	6.80626455026455e-11	1.24442328042328e-10	1.7104380952381e-10	2.25582857142857e-10	2.90577582417582e-10	3.63553015873016e-10
0.012	0	6.75597883597884e-11	1.23185185185185e-10	1.68780952380952e-10	2.22942857142857e-10	2.89881318681319e-10	3.62044444444444e-10
0.0124	0	6.68734391534392e-11	1.21989206349206e-10	1.66885079365079e-10	2.20853333333333e-10	2.89462645502645e-10	3.60780529100529e-10
0.0128	0	6.59934391534392e-11	1.20857777777778e-10	1.65376507936508e-10	2.19344761904762e-10	2.89336931216931e-10	3.59774814814815e-10
0.0132	0	6.51134391534391e-11	1.19726349206349e-10	1.63867936507936e-10	2.1783619047619e-10	2.89211216931217e-10	3.587691005291e-10
0.0136	0	6.42334391534391e-11	1.18594920634921e-10	1.62359365079365e-10	2.16327619047619e-10	2.89085502645503e-10	3.57763386243386e-10
0.014	0	6.33534391534392e-11	1.17463492063492e-10	1.60850793650794e-10	2.14819047619048e-10	2.88959788359788e-10	3.56757671957672e-10
0.0144	0	6.2802328042328e-11	1.16606137566138e-10	1.59561481481481e-10	2.13474920634921e-10	2.88231111111111e-10	3.56190476190476e-10
0.0148	0	6.26766137566137e-11	1.1610328042328e-10	1.58555767195767e-10	2.12343492063492e-10	2.8672253968254e-10	3.56190476190476e-10
0.0152	0	6.25508994708995e-11	1.15600423280423e-10	1.57550052910053e-10	2.11212063492064e-10	2.85213968253968e-10	3.56190476190476e-10
0.0156	0	6.24251851851852e-11	1.15097566137566e-10	1.56544338624339e-10	2.10080634920635e-10	2.83705396825397e-10	3.56190476190476e-10
0.016	0	6.22994708994709e-11	1.14594708994709e-10	1.55538624338624e-10	2.08949206349206e-10	2.82196825396825e-10	3.56190476190476e-10
0.0164	0	6.20768253968254e-11	1.13946455026455e-10	1.54775238095238e-10	2.07914708994709e-10	2.80785185185185e-10	3.5526962962963e-10
0.0168	0	6.16996825396825e-11	1.13066455026455e-10	1.54398095238095e-10	2.07034708994709e-10	2.79528042328042e-10	3.52881058201058e-10
0.0172	0	6.13225396825397e-11	1.12186455026455e-10	1.54020952380952e-10	2.06154708994709e-10	2.78270899470899e-10	3.50492486772487e-10
0.0176	0	6.09453968253968e-11	1.11306455026455e-10	1.5364380952381e-10	2.05274708994709e-10	2.77013756613757e-10	3.48103915343915e-10
0.018	0	6.0568253968254e-11	1.10426455026455e-10	1.53266666666667e-10	2.04394708994709e-10	2.75756613756614e-10	3.45715343915344e-10
0.0184	0	6.00226455026455e-11	1.09672804232804e-10	1.52847407407407e-10	2.03725291005291e-10	2.74373121693122e-10	3.43790052910053e-10
0.0188	0	5.91426455026455e-11	1.09169947089947e-10	1.5234455026455e-10	2.03473862433862e-10	2.72738835978836e-10	3.42784338624339e-10
0.0192	0	5.82626455026455e-11	1.0866708994709e-10	1.51841693121693e-10	2.03222433862434e-10	2.7110455026455e-10	3.41778624338624e-10
0.0196	0	5.73826455026455e-11	1.08164232804233e-10	1.51338835978836e-10	2.02971005291005e-10	2.69470264550265e-10	3.4077291005291e-10
0.02	0	5.65026455026455e-11	1.07661375661376e-10	1.50835978835979e-10	2.02719576719577e-10	2.67835978835979e-10	3.39767195767196e-10
0.0204	0	5.58372486772487e-11	1.07230052910053e-10	1.50368888888889e-10	2.0257544973545e-10	2.66559365079365e-10	3.38868783068783e-10
0.0208	0	5.57115343915344e-11	1.06978624338624e-10	1.49991746031746e-10	2.02701164021164e-10	2.66182222222222e-10	3.38240211640212e-10
0.0212	0	5.55858201058201e-11	1.06727195767196e-10	1.49614603174603e-10	2.02826878306878e-10	2.65805079365079e-10	3.3761164021164e-10
0.0216	0	5.54601058201058e-11	1.06475767195767e-10	1.4923746031746e-10	2.02952592592593e-10	2.65427936507936e-10	3.36983068783069e-10
0.022	0	5.53343915343915e-11	1.06224338624339e-10	1.48860317460317e-10	2.03078306878307e-10	2.65050793650794e-10	3.36354497354497e-10
0.0224	0	5.52675132275132e-11	1.05943492063492e-10	1.48630264550265e-10	2.03233439153439e-10	2.64732486772487e-10	3.35696507936508e-10
0.0228	0	5.53932275132275e-11	1.05566349206349e-10	1.48881693121693e-10	2.03484867724868e-10	2.64606772486772e-10	3.34942222222222e-10
0.0232	0	5.55189417989418e-11	1.05189206349206e-10	1.49133121693122e-10	2.03736296296296e-10	2.64481058201058e-10	3.34187936507937e-10
0.0236	0	5.56446560846561e-11	1.04812063492064e-10	1.4938455026455e-10	2.03987724867725e-10	2.64355343915344e-10	3.33433650793651e-10
0.024	0	5.57703703703704e-11	1.04434920634921e-10	1.49635978835979e-10	2.04239153439153e-10	2.6422962962963e-10	3.32679365079365e-10
0.0244	0	5.58287238095238e-11	1.04126984126984e-10	1.49708393650794e-10	2.04267276190476e-10	2.63971961904762e-10	3.32262806349206e-10
0.0248	0	5.55873523809524e-11	1.04126984126984e-10	1.48984279365079e-10	2.0330179047619e-10	2.63127161904762e-10	3.33348977777778e-10
0.0252	0	5.53459809523809e-11	1.04126984126984e-10	1.48260165079365e-10	2.02336304761905e-10	2.62282361904762e-10	3.34435149206349e-10
0.0256	0	5.51046095238095e-11	1.04126984126984e-10	1.47536050793651e-10	2.01370819047619e-10	2.61437561904762e-10	3.35521320634921e-10
0.026	0	5.48632380952381e-11	1.04126984126984e-10	1.46811936507936e-10	2.00405333333333e-10	2.60592761904762e-10	3.36607492063492e-10
0.0264	0	5.46218666666667e-11	1.04126984126984e-10	1.46087822222222e-10	1.99439847619048e-10	2.59747961904762e-10	3.37693663492064e-10
0.0268	0	5.46031746031746e-11	1.03315132275132e-10	1.45103915343915e-10	1.99249100529101e-10	2.58986666666667e-10	3.3557417989418e-10
0.0272	0	5.46031746031746e-11	1.02435132275132e-10	1.44098201058201e-10	1.99123386243386e-10	2.58232380952381e-10	3.33185608465608e-10
0.0276	0	5.46031746031746e-11	1.01555132275132e-10	1.43092486772487e-10	1.98997671957672e-10	2.57478095238095e-10	3.30797037037037e-10
0.028	0	5.46031746031746e-11	1.00675132275132e-10	1.42086772486772e-10	1.98871957671958e-10	2.5672380952381e-10	3.28408465608466e-10
0.0284	0	5.46031746031746e-11	9.97951322751323e-11	1.41081058201058e-10	1.98746243386243e-10	2.55969523809524e-10	3.26019894179894e-10
0.0288	0	5.46031746031746e-11	9.93536507936508e-11	1.40952380952381e-10	1.97853121693122e-10	2.55105608465608e-10	3.24946878306878e-10
0.0292	0	5.46031746031746e-11	9.89765079365079e-11	1.40952380952381e-10	1.96847407407407e-10	2.54225608465608e-10	3.24066878306878e-10
0.0296	0	5.46031746031746e-11	9.85993650793651e-11	1.40952380952381e-10	1.95841693121693e-10	2.53345608465608e-10	3.23186878306878e-10
0.03	0	5.46031746031746e-11	9.82222222222222e-11	1.40952380952381e-10	1.94835978835979e-10	2.52465608465608e-10	3.22306878306878e-10
0.0304	0	5.46031746031746e-11	9.78450793650794e-11	1.40952380952381e-10	1.93830264550265e-10	2.51585608465608e-10	3.21426878306878e-10
0.0308	0	5.4706455026455e-11	9.75712169312169e-11	1.41468783068783e-10	1.93031111111111e-10	2.50705608465608e-10	3.21476402116402e-10
0.0312	0	5.48321693121693e-11	9.73197883597884e-11	1.42097354497355e-10	1.92276825396825e-10	2.49825608465608e-10	3.21727830687831e-10
0.0316	0	5.49578835978836e-11	9.70683597883598e-11	1.42725925925926e-10	1.9152253968254e-10	2.48945608465608e-10	3.21979259259259e-10
0.032	0	5.50835978835979e-11	9.68169312169312e-11	1.43354497354497e-10	1.90768253968254e-10	2.48065608465608e-10	3.22230687830688e-10
0.0324	0	5.52093121693122e-11	9.65655026455026e-11	1.43983068783069e-10	1.90013968253968e-10	2.47185608465608e-10	3.22482116402116e-10
0.0328	0	5.50442328042328e-11	9.61202116402116e-11	1.43642328042328e-10	1.89647407407407e-10	2.46596402116402e-10	3.2234582010582e-10
0.0332	0	5.47928042328042e-11	9.56173544973545e-11	1.43013756613757e-10	1.89395978835979e-10	2.46093544973545e-10	3.22094391534392e-10
0.0336	0	5.45413756613757e-11	9.51144973544974e-11	1.42385185185185e-10	1.8914455026455e-10	2.45590687830688e-10	3.21842962962963e-10
0.034	0	5.42899470899471e-11	9.46116402116402e-11	1.41756613756614e-10	1.88893121693122e-10	2.45087830687831e-10	3.21591534391534e-10
0.0344	0	5.40385185185185e-11	9.41087830687831e-11	1.41128042328042e-10	1.88641693121693e-10	2.44584973544974e-10	3.21340105820106e-10
0.0348	0	5.36965079365079e-11	9.38776719576719e-11	1.40408888888889e-10	1.88027936507936e-10	2.43719788359788e-10	3.20454603174603e-10
0.0352	0	5.33193650793651e-11	9.37519576719576e-11	1.39654603174603e-10	1.87273650793651e-10	2.42714074074074e-10	3.19323174603175e-10
0.0356	0	5.29422222222222e-11	9.36262433862434e-11	1.38900317460317e-10	1.86519365079365e-10	2.4170835978836e-10	3.18191746031746e-10
0.036	0	5.25650793650794e-11	9.35005291005291e-11	1.38146031746032e-10	1.85765079365079e-10	2.40702645502646e-10	3.17060317460317e-10
0.0364	0	5.21879365079365e-11	9.33748148148148e-11	1.37391746031746e-10	1.85010793650794e-10	2.39696931216931e-10	3.15928888888889e-10
0.0368	0	5.18107936507937e-11	9.36702645502646e-11	1.37142857142857e-10	1.84424973544974e-10	2.39617777777778e-10	3.14544761904762e-10
0.0372	0	5.14336507936508e-11	9.41731216931217e-11	1.37142857142857e-10	1.83922116402116e-10	2.39994920634921e-10	3.1303619047619e-10
0.0376	0	5.10565079365079e-11	9.46759788359788e-11	1.37142857142857e-10	1.83419259259259e-10	2.40372063492063e-10	3.11527619047619e-10
0.038	0	5.06793650793651e-11	9.5178835978836e-11	1.37142857142857e-10	1.82916402116402e-10	2.40749206349206e-10	3.10019047619048e-10
0.0384	0	5.03022222222222e-11	9.56816931216931e-11	1.37142857142857e-10	1.82413544973545e-10	2.41126349206349e-10	3.08510476190476e-10
0.0388	0	5.01587301587302e-11	9.54057142857143e-11	1.37064973544974e-10	1.81677037037037e-10	2.40646772486772e-10	3.0754708994709e-10
0.0392	0	5.01587301587302e-11	9.46514285714286e-11	1.36939259259259e-10	1.80797037037037e-10	2.39641058201058e-10	3.06918518518519e-10
0.0396	0	5.01587301587302e-11	9.38971428571429e-11	1.36813544973545e-10	1.79917037037037e-10	2.38635343915344e-10	3.06289947089947e-10
0.04	0	5.01587301587302e-11	9.31428571428572e-11	1.36687830687831e-10	1.79037037037037e-10	2.3762962962963e-10	3.05661375661376e-10
0.0404	0	5.01587301587302e-11	9.23885714285714e-11	1.36562116402116e-10	1.78157037037037e-10	2.36623915343915e-10	3.05032804232804e-10
0.0408	0	5.00900571428571e-11	9.1926146031746e-11	1.35958552380952e-10	1.77846450793651e-10	2.36396495238095e-10	3.05036596825397e-10
0.0412	0	4.99693714285714e-11	9.16847746031746e-11	1.34993066666667e-10	1.77967136507937e-10	2.36758552380952e-10	3.0551933968254e-10
0.0416	0	4.98486857142857e-11	9.14434031746032e-11	1.34027580952381e-10	1.78087822222222e-10	2.3712060952381e-10	3.06002082539683e-10
0.042	0	4.9728e-11	9.12020317460317e-11	1.33062095238095e-10	1.78208507936508e-10	2.37482666666667e-10	3.06484825396825e-10
0.0424	0	4.96073142857143e-11	9.09606603174603e-11	1.32096609523809e-10	1.78329193650794e-10	2.37844723809524e-10	3.06967568253968e-10
0.0428	0	4.93301587301587e-11	9.07936507936508e-11	1.31467301587302e-10	1.78373968253968e-10	2.38172698412698e-10	3.07185396825397e-10
0.0432	0	4.87015873015873e-11	9.07936507936508e-11	1.31593015873016e-10	1.78248253968254e-10	2.38424126984127e-10	3.06808253968254e-10
0.0436	0	4.80730158730159e-11	9.07936507936508e-11	1.3171873015873e-10	1.7812253968254e-10	2.38675555555556e-10	3.06431111111111e-10
0.044	0	4.74444444444444e-11	9.07936507936508e-11	1.31844444444444e-10	1.77996825396825e-10	2.38926984126984e-10	3.06053968253968e-10
0.0444	0	4.6815873015873e-11	9.07936507936508e-11	1.31970158730159e-10	1.77871111111111e-10	2.39178412698413e-10	3.05676825396825e-10
0.0448	0	4.62196825396825e-11	9.07612698412698e-11	1.32095873015873e-10	1.77615873015873e-10	2.39073650793651e-10	3.05332063492063e-10
0.0452	0	4.57168253968254e-11	9.06355555555556e-11	1.32221587301587e-10	1.76987301587302e-10	2.37942222222222e-10	3.05080634920635e-10
0.0456	0	4.52139682539682e-11	9.05098412698413e-11	1.32347301587302e-10	1.7635873015873e-10	2.36810793650794e-10	3.04829206349206e-10
0.046	0	4.47111111111111e-11	9.0384126984127e-11	1.32473015873016e-10	1.75730158730159e-10	2.35679365079365e-10	3.04577777777778e-10
0.0464	0	4.4208253968254e-11	9.02584126984127e-11	1.3259873015873e-10	1.75101587301587e-10	2.34547936507937e-10	3.04326349206349e-10
0.0468	0	4.39136507936508e-11	9.00025396825397e-11	1.3280253968254e-10	1.74551111111111e-10	2.3344253968254e-10	3.04074920634921e-10
0.0472	0	4.44165079365079e-11	8.9248253968254e-11	1.33305396825397e-10	1.74299682539683e-10	2.32436825396825e-10	3.03823492063492e-10
0.0476	0	4.49193650793651e-11	8.84939682539682e-11	1.33808253968254e-10	1.74048253968254e-10	2.31431111111111e-10	3.03572063492063e-10
0.048	0	4.54222222222222e-11	8.77396825396825e-11	1.34311111111111e-10	1.73796825396825e-10	2.30425396825397e-10	3.03320634920635e-10
0.0484	0	4.59250793650794e-11	8.69853968253968e-11	1.34813968253968e-10	1.73545396825397e-10	2.29419682539683e-10	3.03069206349206e-10
0.0488	0	4.63295238095238e-11	8.63098412698413e-11	1.3519873015873e-10	1.73372698412698e-10	2.28492698412698e-10	3.02620952380952e-10
0.0492	0	4.62038095238095e-11	8.60584126984127e-11	1.34947301587302e-10	1.73624126984127e-10	2.27989841269841e-10	3.01112380952381e-10
0.0496	0	4.60780952380952e-11	8.58069841269841e-11	1.34695873015873e-10	1.73875555555556e-10	2.27486984126984e-10	2.99603809523809e-10
0.05	0	4.59523809523809e-11	8.55555555555555e-11	1.34444444444444e-10	1.74126984126984e-10	2.26984126984127e-10	2.98095238095238e-10
0.0504	0	4.58266666666667e-11	8.5304126984127e-11	1.34193015873016e-10	1.74378412698413e-10	2.2648126984127e-10	2.96586666666667e-10
0.0508	0	4.56742857142857e-11	8.50793650793651e-11	1.33901587301587e-10	1.74589841269841e-10	2.26085079365079e-10	2.95251428571429e-10
0.0512	0	4.52971428571429e-11	8.50793650793651e-11	1.33273015873016e-10	1.74464126984127e-10	2.26587936507937e-10	2.95377142857143e-10
0.0516	0	4.492e-11	8.50793650793651e-11	1.32644444444444e-10	1.74338412698413e-10	2.27090793650794e-10	2.95502857142857e-10
0.052	0	4.45428571428571e-11	8.50793650793651e-11	1.32015873015873e-10	1.74212698412698e-10	2.27593650793651e-10	2.95628571428572e-10
0.0524	0	4.41657142857143e-11	8.50793650793651e-11	1.31387301587302e-10	1.74086984126984e-10	2.28096507936508e-10	2.95754285714286e-10
0.0528	0	4.38165079365079e-11	8.50723809523809e-11	1.30779682539683e-10	1.73982222222222e-10	2.28571428571429e-10	2.95859047619048e-10
0.0532	0	4.39422222222222e-11	8.49466666666667e-11	1.30528253968254e-10	1.74233650793651e-10	2.28571428571429e-10	2.95607619047619e-10
0.0536	0	4.40679365079365e-11	8.48209523809524e-11	1.30276825396825e-10	1.74485079365079e-10	2.28571428571429e-10	2.95356190476191e-10
0.054	0	4.41936507936508e-11	8.46952380952381e-11	1.30025396825397e-10	1.74736507936508e-10	2.28571428571429e-10	2.95104761904762e-10
0.0544	0	4.43193650793651e-11	8.45695238095238e-11	1.29773968253968e-10	1.74987936507937e-10	2.28571428571429e-10	2.94853333333333e-10
0.0548	0	4.44438095238095e-11	8.44438095238095e-11	1.29521904761905e-10	1.75238095238095e-10	2.28568888888889e-10	2.94604444444444e-10
0.0552	0	4.43180952380952e-11	8.43180952380952e-11	1.29144761904762e-10	1.75238095238095e-10	2.28066031746032e-10	2.94855873015873e-10
0.0556	0	4.4192380952381e-11	8.41923809523809e-11	1.28767619047619e-10	1.75238095238095e-10	2.27563174603175e-10	2.95107301587302e-10
0.056	0	4.40666666666667e-11	8.40666666666667e-11	1.28390476190476e-10	1.75238095238095e-10	2.27060317460317e-10	2.9535873015873e-10
0.0564	0	4.39409523809524e-11	8.39409523809524e-11	1.28013333333333e-10	1.75238095238095e-10	2.2655746031746e-10	2.95610158730159e-10
0.0568	0	4.38152380952381e-11	8.38152380952381e-11	1.2763619047619e-10	1.75238095238095e-10	2.26054603174603e-10	2.95861587301587e-10
0.0572	0	4.38095238095238e-11	8.38095238095238e-11	1.26899047619048e-10	1.75118095238095e-10	2.26511746031746e-10	2.94673015873016e-10
0.0576	0	4.38095238095238e-11	8.38095238095238e-11	1.26144761904762e-10	1.74992380952381e-10	2.27014603174603e-10	2.93415873015873e-10
0.058	0	4.38095238095238e-11	8.38095238095238e-11	1.25390476190476e-10	1.74866666666667e-10	2.2751746031746e-10	2.9215873015873e-10
0.0584	0	4.38095238095238e-11	8.38095238095238e-11	1.2463619047619e-10	1.74740952380952e-10	2.28020317460317e-10	2.90901587301587e-10
0.0588	0	4.38095238095238e-11	8.38095238095238e-11	1.23881904761905e-10	1.74615238095238e-10	2.28523174603175e-10	2.89644444444444e-10
0.0592	0	4.40277333333333e-11	8.40277333333333e-11	1.24245942857143e-10	1.7449406984127e-10	2.27371276190476e-10	2.89742019047619e-10
0.0596	0	4.42691047619048e-11	8.42691047619048e-11	1.24728685714286e-10	1.74373384126984e-10	2.26043733333333e-10	2.8998339047619e-10
0.06	0	4.45104761904762e-11	8.45104761904762e-11	1.25211428571429e-10	1.74252698412698e-10	2.2471619047619e-10	2.90224761904762e-10
0.0604	0	4.47518476190476e-11	8.47518476190476e-11	1.25694171428571e-10	1.74132012698413e-10	2.23388647619048e-10	2.90466133333333e-10
0.0608	0	4.49932190476191e-11	8.4993219047619e-11	1.26176914285714e-10	1.74011326984127e-10	2.22061104761905e-10	2.90707504761905e-10
0.0612	0	4.50793650793651e-11	8.4917671957672e-11	1.26187513227513e-10	1.74049100529101e-10	2.21021375661376e-10	2.90066031746032e-10
0.0616	0	4.50793650793651e-11	8.46662433862434e-11	1.25936084656085e-10	1.74174814814815e-10	2.20141375661376e-10	2.88934603174603e-10
0.062	0	4.50793650793651e-11	8.44148148148148e-11	1.25684656084656e-10	1.74300529100529e-10	2.19261375661376e-10	2.87803174603175e-10
0.0624	0	4.50793650793651e-11	8.41633862433862e-11	1.25433227513228e-10	1.74426243386243e-10	2.18381375661376e-10	2.86671746031746e-10
0.0628	0	4.50793650793651e-11	8.39119576719577e-11	1.25181798941799e-10	1.74551957671958e-10	2.17501375661376e-10	2.85540317460317e-10
0.0632	0	4.49303703703704e-11	8.37350264550265e-11	1.25079365079365e-10	1.74752169312169e-10	2.17738835978836e-10	2.85451851851852e-10
0.0636	0	4.46789417989418e-11	8.36093121693122e-11	1.25079365079365e-10	1.75003597883598e-10	2.1874455026455e-10	2.86080423280423e-10
0.064	0	4.44275132275132e-11	8.34835978835979e-11	1.25079365079365e-10	1.75255026455026e-10	2.19750264550265e-10	2.86708994708995e-10
0.0644	0	4.41760846560847e-11	8.33578835978836e-11	1.25079365079365e-10	1.75506455026455e-10	2.20755978835979e-10	2.87337566137566e-10
0.0648	0	4.39246560846561e-11	8.32321693121693e-11	1.25079365079365e-10	1.75757883597884e-10	2.21761693121693e-10	2.87966137566138e-10
0.0652	0	4.38095238095238e-11	8.31746031746032e-11	1.24943068783069e-10	1.75532275132275e-10	2.21745185185185e-10	2.88322116402116e-10
0.0656	0	4.38095238095238e-11	8.31746031746032e-11	1.2469164021164e-10	1.74903703703704e-10	2.20865185185185e-10	2.88447830687831e-10
0.066	0	4.38095238095238e-11	8.31746031746032e-11	1.24440211640212e-10	1.74275132275132e-10	2.19985185185185e-10	2.88573544973545e-10
0.0664	0	4.38095238095238e-11	8.31746031746032e-11	1.24188783068783e-10	1.73646560846561e-10	2.19105185185185e-10	2.88699259259259e-10
0.0668	0	4.38095238095238e-11	8.31746031746032e-11	1.23937354497354e-10	1.73017989417989e-10	2.18225185185185e-10	2.88824973544974e-10
0.0672	0	4.34387301587302e-11	8.30510052910053e-11	1.23562328042328e-10	1.72389417989418e-10	2.17406984126984e-10	2.88085502645503e-10
0.0676	0	4.26844444444445e-11	8.27995767195767e-11	1.23059470899471e-10	1.71760846560847e-10	2.16652698412698e-10	2.86451216931217e-10
0.068	0	4.19301587301587e-11	8.25481481481481e-11	1.22556613756614e-10	1.71132275132275e-10	2.15898412698413e-10	2.84816931216931e-10
0.0684	0	4.1175873015873e-11	8.22967195767196e-11	1.22053756613757e-10	1.70503703703704e-10	2.15144126984127e-10	2.83182645502645e-10
0.0688	0	4.04215873015873e-11	8.2045291005291e-11	1.21550899470899e-10	1.69875132275132e-10	2.14389841269841e-10	2.8154835978836e-10
0.0692	0	4.01663492063492e-11	8.17938624338624e-11	1.21380740740741e-10	1.69191111111111e-10	2.13746455026455e-10	2.80579470899471e-10
0.0696	0	4.05434920634921e-11	8.15424338624338e-11	1.21632169312169e-10	1.68436825396825e-10	2.13243597883598e-10	2.80453756613757e-10
0.07	0	4.09206349206349e-11	8.12910052910053e-11	1.21883597883598e-10	1.6768253968254e-10	2.12740740740741e-10	2.80328042328042e-10
0.0704	0	4.12977777777778e-11	8.10395767195767e-11	1.22135026455026e-10	1.66928253968254e-10	2.12237883597884e-10	2.80202328042328e-10
0.0708	0	4.16749206349206e-11	8.07881481481481e-11	1.22386455026455e-10	1.66173968253968e-10	2.11735026455026e-10	2.80076613756614e-10
