S	-20pa	-15pa	-10pa	-5pa	0pa	5pa	10pa	15pa	20pa
0.4092	-0.0656817074747475	-0.059772837979798	-0.0454067317171717	-0.0398231216161616	-0.0301793482828283	-0.0185075204040404	-0.00629270787878788	0.00205319636363636	0.00790684242424242
0.4096	-0.0656799547474747	-0.0597745907070707	-0.0454093608080808	-0.0398213688888889	-0.0301802246464646	-0.018506644040404	-0.00628920242424242	0.00205582545454545	0.00791122424242425
0.41	-0.065678202020202	-0.0597763434343434	-0.0454119898989899	-0.0398196161616162	-0.030181101010101	-0.0185057676767677	-0.00628569696969697	0.00205845454545454	0.00791560606060606
0.4104	-0.0656764492929293	-0.0597780961616162	-0.045414618989899	-0.0398178634343434	-0.0301819773737374	-0.0185048913131313	-0.00628219151515152	0.00206108363636363	0.00791998787878788
0.4108	-0.0656746965656566	-0.0597798488888889	-0.0454172480808081	-0.0398161107070707	-0.0301828537373737	-0.018504014949495	-0.00627868606060606	0.00206371272727273	0.0079243696969697
0.4112	-0.0656729438383838	-0.0597816016161616	-0.0454198771717172	-0.039814357979798	-0.0301837301010101	-0.0185031385858586	-0.00627518060606061	0.00206634181818182	0.00792875151515152
0.4116	-0.0656711911111111	-0.0597833543434343	-0.0454225062626263	-0.0398126052525252	-0.0301846064646465	-0.0185022622222222	-0.00627167515151515	0.00206897090909091	0.00793313333333334
0.412	-0.0656694383838384	-0.0597851070707071	-0.0454251353535354	-0.0398108525252525	-0.0301854828282828	-0.0185013858585859	-0.0062681696969697	0.0020716	0.00793751515151515
0.4124	-0.0656676856565657	-0.0597868597979798	-0.0454277644444444	-0.0398090997979798	-0.0301863591919192	-0.0185005094949495	-0.00626466424242424	0.00207422909090909	0.00794189696969697
0.4128	-0.0656659329292929	-0.0597886125252525	-0.0454303935353535	-0.0398073470707071	-0.0301872355555556	-0.0184996331313131	-0.00626115878787879	0.00207685818181818	0.00794627878787879
